#Gene	Initiation	Avg. norm. mRNA read count	Avg. norm. rib. read count	Fitness	No. of segments
YJL143W	3.50634E-005	5.80871E-007	5.58618E-007	49.9537	11
YBR161W	1.69095E-005	0.000000139	4.75995E-008	12.2493	5
YGL238W	2.56154E-005	2.29325E-007	1.50509E-007	101.299	43
YIR003W	2.03869E-005	1.21651E-007	5.64465E-008	29.2325	14
YNL104C	3.81377E-005	7.84395E-007	6.51839E-007	206.041	45
YPL145C	3.88379E-005	6.53307E-007	5.55505E-007	117.287	29
YIL118W	3.07349E-005	4.22712E-007	2.82753E-007	61.073	15
YNL151C	3.72685E-005	1.78796E-007	1.36681E-007	34.9203	10
YKL191W	1.86076E-005	2.36475E-007	1.06908E-007	96.3142	18
YLR220W	2.25652E-005	2.92697E-007	1.48821E-007	55.4457	13
YIL045W	1.53482E-005	8.76123E-008	2.05215E-008	2.0329	4
YHR120W	0.000010451	6.33578E-008	1.66281E-008	22.579	5
YOR023C	1.52623E-005	1.35432E-007	0.000000045	27.0075	7
YFR005C	7.50813E-006	2.53329E-007	5.04829E-008	28.3423	8
YJL166W	8.40877E-005	5.69808E-007	8.0142E-007	21.5266	6
YGL163C	1.30532E-005	0.000000055	0.000000017	-8.86343	5
YDR004W	3.27489E-006	1.61319E-007	1.8427E-008	-42.0141	3
YIL026C	3.00374E-005	5.10837E-008	3.91963E-008	10.087	14
YOL137W	0.000018165	1.64066E-007	5.40968E-008	24.5182	9
YDR530C	1.05905E-005	2.1571E-007	5.62575E-008	37.4471	6
YER111C	2.13097E-005	3.16093E-008	2.67108E-008	-37.7807	5
YEL031W	0.00013356	1.85758E-007	0.00000042	-48.3909	51
YOL071W	5.04318E-005	1.14902E-007	1.23055E-007	19.8488	5
YER144C	0.000004584	0.000000087	1.36263E-008	10.0991	4
YOL039W	9.53773E-005	1.58835E-005	2.02698E-005	27.2795	6
YGR185C	5.38361E-005	1.08031E-006	1.0279E-006	145.339	31
YER168C	2.23506E-005	1.82365E-007	8.62464E-008	49.4848	15
YPL265W	2.88064E-005	9.36926E-007	6.14251E-007	164.915	46
YOR227W	2.18677E-005	6.66696E-008	3.10811E-008	-7.35356	12
YOR081C	1.72958E-005	9.13396E-008	3.72546E-008	1.85693	9
YEL026W	6.49392E-005	3.20645E-006	3.32313E-006	34.4674	7
YNL298W	0.000012624	7.51949E-008	3.43824E-008	-6.54378	10
YCL014W	6.06081E-005	1.81815E-008	2.92249E-008	10.4089	7
YGL172W	0.000018165	2.07467E-007	0.000000129	61.1339	18
YNL274C	0.000022922	0.000000114	5.01457E-008	34.2237	6
YML113W	6.92867E-006	0.000000221	6.4431E-008	-2.68387	4
YDR021W	2.13097E-005	1.23465E-007	4.6235E-008	26.1224	5
YHL011C	2.89509E-005	0.000000994	5.79379E-007	134.343	25
YPL212C	2.21789E-005	0.00000034	1.5332E-007	135.907	30
YMR296C	2.59963E-005	0.000000375	3.00816E-007	89.5548	37
YGR184C	3.92242E-005	4.4305E-008	6.59345E-008	-231.055	18
YLR330W	3.95354E-005	3.27698E-007	1.86915E-007	102.796	33
YPR095C	1.50263E-005	4.55644E-008	1.20788E-008	1.91488	5
YOR310C	6.60337E-005	0.000000854	9.02499E-007	139.949	29
YFR051C	4.53073E-005	4.48092E-007	4.19497E-007	153.338	36
YIL063C	3.38401E-005	2.00204E-007	1.22702E-007	65.003	13
YDR188W	5.88889E-005	3.4149E-007	5.44795E-007	162.805	39
YOL128C	6.54773E-006	2.7434E-007	2.347E-008	-36.8466	4
YGL236C	0.000027626	3.11809E-008	1.6883E-008	12.2782	3
YOL057W	3.57877E-005	2.1463E-007	1.5906E-007	115.913	30
YFR004W	6.01253E-005	3.8308E-007	4.06423E-007	72.9097	22
YHR133C	2.04727E-005	6.17695E-007	2.90065E-007	87.0365	18
YDR017C	2.01294E-005	8.73236E-008	3.44403E-008	27.6513	12
YOL080C	4.33342E-005	8.80959E-008	5.82046E-008	18.8031	4
YOR369C	4.05313E-005	2.50489E-005	1.75299E-005	37.0916	8
YOR025W	1.23289E-005	2.96875E-007	7.09034E-008	37.1414	11
YOR092W	2.46926E-005	1.14532E-007	0.000000052	0.833485	8
YML128C	8.28073E-006	2.67484E-007	4.72359E-008	-0.177756	8
YDR411C	1.57291E-005	2.66844E-007	1.37705E-007	55.0181	15
YBR283C	5.20521E-005	8.72158E-007	7.94896E-007	142.018	32
YIL090W	1.17494E-005	2.70948E-007	7.46393E-008	74.2048	13
YOR321W	4.74802E-005	1.02406E-007	6.14252E-008	13.5514	15
YML104C	2.49501E-005	4.31386E-008	1.00938E-008	-4.21968	3
YNR033W	1.92515E-005	1.13946E-007	5.61449E-008	58.3413	15
YGL256W	8.28073E-006	3.11784E-007	3.55548E-008	27.0526	4
